dataset,n,chunk_size,merge_seed,method,statistic,estimate,oracle_decimal,absolute_error,relative_error,ulp_error,binary64
centered_wide,12000,31,7,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,7,chan_random,mean,8.333333333332482e-05,0.000083333333333334369541489650146104395389556884765625,9.549977995904068706067846505902707576751708984375E-18,1.1459973595084739948264090981702811247379131174855026291371331152674813581672331E-13,704.66399999999999,3f15d867c3ece031
centered_wide,12000,31,7,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,8,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,8,chan_random,mean,8.3333333333386334e-05,0.000083333333333334369541489650146104395389556884765625,5.19649427654922391184300067834556102752685546875E-17,6.2357931318589911552551487742269266582414751303413998856123747497562716428674031E-13,3834.3359999999998,3f15d867c3ecf1ec
centered_wide,12000,31,8,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,9,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,9,chan_random,mean,8.3333333333325877e-05,0.000083333333333334369541489650146104395389556884765625,8.492880877730701882910580025054514408111572265625E-18,1.0191457053276715533841615735950482084408449783952848727699902173886858670721237E-13,626.66399999999999,3f15d867c3ece07f
centered_wide,12000,31,9,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,10,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,10,chan_random,mean,8.3333333333277548e-05,0.000083333333333334369541489650146104395389556884765625,5.6821192716272062028792788623832166194915771484375E-17,6.8185431259525626582951189150730043560734729783403684523242411640013104984203309E-13,4192.6639999999998,3f15d867c3ecd291
centered_wide,12000,31,10,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,11,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,11,chan_random,mean,8.3333333333287835e-05,0.000083333333333334369541489650146104395389556884765625,4.6534824604815838711147080175578594207763671875E-17,5.5841789525778312088763256951678532859520022402701725922901198884884159119948432E-13,3433.6640000000002,3f15d867c3ecd588
centered_wide,12000,31,11,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,12,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,12,chan_random,mean,8.3333333333297308e-05,0.000083333333333334369541489650146104395389556884765625,3.7061608122723743719006961327977478504180908203125E-17,4.4473929747267939451823382633974967668282762245770673140768777651899793956425165E-13,2734.6640000000002,3f15d867c3ecd843
centered_wide,12000,31,12,chan_random,population_variance,850.02274999305541,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,1.6024982173333689500163916508752094249798616168021148011696434125E-13,1.8852415624716642839087014791734513432363174127896537316364146973768910560730325E-16,1.4095723387586805,408a902e978c6142
centered_wide,12000,31,13,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,13,chan_random,mean,8.3333333333327422e-05,0.000083333333333334369541489650146104395389556884765625,6.947892781938858064449959783814847469329833984375E-18,8.3374713383265260050703057613893856154513000587881276731031982818121553393311759E-14,512.66399999999999,3f15d867c3ece0f1
