dataset,n,method,construction,capacity,seed,partition_size,merge_seed,q,value,oracle_value,value_error,target_index,tie_lower_index,tie_upper_index,rank_error,retained,retained_fraction
normal,20000,kll,sequential,32,47,,,0.5,-0.062571528981764518,-0.0057934692610270306,0.056778059720737489,9999,9532,9532,0.023351167558377919,35,0.00175
normal,20000,kll,sequential,32,47,,,0.75,0.67547604368080438,0.66396027043969696,0.011515773241107419,14999,15069,15069,0.0035001750087504373,35,0.00175
normal,20000,kll,sequential,32,47,,,0.90000000000000002,1.2864511978154543,1.2605493334517524,0.025901864363701899,17999,18081,18081,0.0041002050102505122,35,0.00175
normal,20000,kll,sequential,32,47,,,0.98999999999999999,2.1311069247686927,2.3085331684105435,0.17742624364185078,19799,19669,19669,0.0065003250162508127,35,0.00175
normal,20000,kll,balanced_merge,32,47,257,20260859,0.01,-2.12039334085665,-2.3706471596639775,0.25025381880732755,199,367,367,0.0084004200210010503,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,47,257,20260859,0.10000000000000001,-1.4238604611911063,-1.2913587514538585,0.13250170973724784,1999,1604,1604,0.019750987549377468,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,47,257,20260859,0.25,-0.71673654293134492,-0.68207070925987068,0.034665833671474244,4999,4760,4760,0.011950597529876494,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,47,257,20260859,0.5,-0.02063875364699214,-0.0057934692610270306,0.014845284385965109,9999,9876,9876,0.0061503075153757688,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,47,257,20260859,0.75,0.62430953082247498,0.66396027043969696,0.039650739617221986,14999,14733,14733,0.013300665033251663,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,47,257,20260859,0.90000000000000002,1.2757031095315667,1.2605493334517524,0.015153776079814385,17999,18049,18049,0.0025001250062503125,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,47,257,20260859,0.98999999999999999,2.0348854176210502,2.3085331684105435,0.27364775078949322,19799,19576,19576,0.011150557527876394,68,0.0033999999999999998
normal,20000,kll,sequential,32,83,,,0.01,-1.5995120882592657,-2.3706471596639775,0.77113507140471182,199,1139,1139,0.047002350117505878,35,0.00175
normal,20000,kll,sequential,32,83,,,0.10000000000000001,-1.2074537016652656,-1.2913587514538585,0.083905049788592923,1999,2295,2295,0.014800740037001849,35,0.00175
normal,20000,kll,sequential,32,83,,,0.25,-0.63317027804837356,-0.68207070925987068,0.04890043121149712,4999,5307,5307,0.015400770038501925,35,0.00175
normal,20000,kll,sequential,32,83,,,0.5,-0.030489672229096664,-0.0057934692610270306,0.024696202968069632,9999,9795,9795,0.010200510025501276,35,0.00175
normal,20000,kll,sequential,32,83,,,0.75,0.71842661198674418,0.66396027043969696,0.054466341547047215,14999,15354,15354,0.01775088754437722,35,0.00175
normal,20000,kll,sequential,32,83,,,0.90000000000000002,1.5191388475082723,1.2605493334517524,0.25858951405651998,17999,18709,18709,0.035501775088754441,35,0.00175
normal,20000,kll,sequential,32,83,,,0.98999999999999999,2.8192913367570638,2.3085331684105435,0.51075816834652032,19799,19946,19946,0.0073503675183759186,35,0.00175
normal,20000,kll,balanced_merge,32,83,257,20260895,0.01,-2.5633956774352851,-2.3706471596639775,0.19274851777130753,199,113,113,0.0043002150107505372,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,83,257,20260895,0.10000000000000001,-1.5435441542687296,-1.2913587514538585,0.25218540281487112,1999,1277,1277,0.036101805090254513,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,83,257,20260895,0.25,-0.72574166488323943,-0.68207070925987068,0.043670955623368757,4999,4711,4711,0.014400720036001799,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,83,257,20260895,0.5,-0.036199334591946533,-0.0057934692610270306,0.030405865330919504,9999,9753,9753,0.012300615030751538,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,83,257,20260895,0.75,0.65486108514480579,0.66396027043969696,0.0090991852948911767,14999,14937,14937,0.0031001550077503874,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,83,257,20260895,0.90000000000000002,1.2678210755793362,1.2605493334517524,0.0072717421275838579,17999,18021,18021,0.0011000550027501375,68,0.0033999999999999998
normal,20000,kll,balanced_merge,32,83,257,20260895,0.98999999999999999,1.8604582872815469,2.3085331684105435,0.44807488112899652,19799,19370,19370,0.02145107255362768,68,0.0033999999999999998
normal,20000,kll,sequential,32,101,,,0.01,-2.5036337161876854,-2.3706471596639775,0.13298655652370783,199,136,136,0.0031501575078753939,35,0.00175
normal,20000,kll,sequential,32,101,,,0.10000000000000001,-1.5335596612009061,-1.2913587514538585,0.24220090974704767,1999,1298,1298,0.035051752587629381,35,0.00175
normal,20000,kll,sequential,32,101,,,0.25,-0.78579802932421872,-0.68207070925987068,0.10372732006434804,4999,4318,4318,0.034051702585129254,35,0.00175
normal,20000,kll,sequential,32,101,,,0.5,-0.11396027983795341,-0.0057934692610270306,0.10816681057692638,9999,9131,9131,0.043402170108505424,35,0.00175
